id,lng,lat,position,COMID,outlet_id
UKEA-037048U,0.624437,51.746683,0.45995165267398647,23005484,UKEA-037048U
UKEA-F0803,-1.282505,53.512713,0.5102314661488734,23002461,UKEA-F0908
UKEA-SS90F011,-3.511302,50.804172,0.5311889477568653,23010062,UKEA-SX99U053
UKEA-F3606,-1.438958,54.488963,0.7921762117124443,23001843,UKEA-F3606
UKEA-F1301,-1.382684,53.726053,0.912073774270434,23002252,UKEA-F1806
UKEA-2038,-3.110219,52.794359,0.6796713531873259,23005858,UKEA-2606
UKEA-F1306,-1.6344,53.688804,0.7908427033749175,23002339,UKEA-F1806
UKEA-680504,-2.492504,53.167657,0.027386057549375876,23001938,UKEA-680504
UKEA-4061,-2.027783,53.065004,0.08351190355381202,23004954,UKEA-4022
UKEA-S19589_FW,-4.898882,50.319157,0.32934058421790846,23011811,UKEA-S19589_FW
UKEA-453230001,0.453946,51.133145,0.2642694725971884,23010980,UKEA-453103001
UKEA-030003,-0.14688,53.131446,0.5655743190399718,23002681,UKEA-030003
UKEA-4022,-0.799124,53.13617,0.75203712737299,23001887,UKEA-4022
UKEA-4018,-1.648793,52.856568,0.5944851568438995,23004621,UKEA-4022
UKEA-556500002,0.398356,51.011714,0.5277097800221217,23011115,UKEA-556505001
UKEA-680301,-2.518975,52.983547,0.05458093018854051,23001949,UKEA-680504
UKEA-1100TH,-1.366311,51.757588,0.8575127685572101,23005279,UKEA-3400TH
UKEA-F2206,-1.708807,54.26919,0.4079438249909755,23002321,UKEA-F2405
UKEA-4074,-1.271689,52.831572,0.6553782771033649,23005311,UKEA-4022
UKEA-023008,-2.208034,55.143073,0.8747733516304925,23001127,UKEA-023001
UKEA-744312,-3.529373,54.440158,0.18155788368438042,23002059,UKEA-744312
UKEA-3069TH,-0.570321,51.206851,0.980170695898311,23012955,UKEA-3400TH
UKEA-SS92F008,-3.531302,51.021811,0.9700042470846209,23012975,UKEA-SX99U053
UKEA-F1003,-1.786263,53.6381,0.9614371780840938,23002920,UKEA-F1806
UKEA-SX65F051,-3.911239,50.363155,0.49513786266131204,23011859,UKEA-SX65F051
